Date,Open,High,Low,Close,Volume
15-May-17,318.38,320.20,312.53,315.88,7622004
12-May-17,325.48,327.00,321.53,324.81,4121612
11-May-17,323.40,326.00,319.60,323.10,4753819
10-May-17,321.56,325.50,318.12,325.22,5741607
9-May-17,309.38,321.99,309.10,321.26,9676537
8-May-17,310.90,313.79,305.82,307.19,7006471
5-May-17,298.00,308.55,296.80,308.35,8177347
4-May-17,307.44,307.77,290.76,295.46,14152008
3-May-17,317.67,321.53,310.45,311.02,7133365
2-May-17,324.00,327.66,316.56,318.89,5382777
1-May-17,314.88,327.25,314.81,322.83,8829565
28-Apr-17,309.83,314.80,308.00,314.07,4505478
27-Apr-17,311.69,313.09,307.50,308.63,3468569
26-Apr-17,312.37,314.50,309.00,310.17,4695044
25-Apr-17,308.00,313.98,305.86,313.79,6737708
24-Apr-17,309.22,310.55,306.02,308.03,5083505
21-Apr-17,302.00,306.40,300.42,305.60,4509756
20-Apr-17,306.51,309.15,300.23,302.51,6149352
19-Apr-17,302.46,306.62,302.11,305.52,3898024
18-Apr-17,299.70,300.84,297.90,300.25,3035698
17-Apr-17,302.70,304.00,298.68,301.44,4138736
13-Apr-17,296.70,307.39,295.30,304.00,9284634
12-Apr-17,306.34,308.45,296.32,296.84,6050682
11-Apr-17,313.38,313.47,305.50,308.71,5724577
10-Apr-17,309.15,313.73,308.71,312.39,7664458
7-Apr-17,297.50,302.69,297.15,302.54,4579613
6-Apr-17,296.88,301.94,294.10,298.70,5520588
5-Apr-17,302.04,304.88,294.20,295.00,7880938
4-Apr-17,296.89,304.81,294.53,303.70,10134556
3-Apr-17,286.90,299.00,284.58,298.52,13888618
31-Mar-17,278.73,279.68,276.32,278.30,3294640
30-Mar-17,278.04,282.00,277.21,277.92,4148426
29-Mar-17,278.34,279.60,275.54,277.38,3676157
28-Mar-17,277.02,280.68,275.00,277.45,7987604
27-Mar-17,260.60,270.57,259.75,270.22,6230795
24-Mar-17,255.70,263.89,255.01,263.16,5647253
23-Mar-17,255.39,257.67,253.30,254.78,3320245
22-Mar-17,251.56,255.07,250.51,255.01,4059297
21-Mar-17,262.83,264.80,250.24,250.68,6908554
20-Mar-17,260.60,264.55,258.82,261.92,3614294
17-Mar-17,264.00,265.33,261.20,261.50,6497496
16-Mar-17,262.40,265.75,259.06,262.05,7132153
15-Mar-17,257.00,261.00,254.27,255.73,5330806
14-Mar-17,246.11,258.12,246.02,258.00,7598446
13-Mar-17,244.82,246.85,242.78,246.17,3022625
10-Mar-17,246.21,246.50,243.00,243.69,3066272
9-Mar-17,247.63,248.66,243.00,244.90,3879293
8-Mar-17,247.00,250.07,245.32,246.87,3728649
7-Mar-17,251.92,253.89,248.32,248.59,3459470
6-Mar-17,247.91,251.70,247.51,251.21,3355500
3-Mar-17,251.33,251.90,249.00,251.57,2929234
2-Mar-17,249.71,253.28,248.27,250.48,3351833
1-Mar-17,254.18,254.85,249.11,250.02,4809488
28-Feb-17,244.19,251.00,243.90,249.99,6078145
27-Feb-17,248.17,248.36,242.01,246.23,11460810
24-Feb-17,252.66,258.25,250.20,257.00,8171626
23-Feb-17,264.00,264.66,255.56,255.99,14915249
22-Feb-17,280.31,283.45,272.60,273.51,8754975
21-Feb-17,275.45,281.40,274.01,277.39,5676747
17-Feb-17,265.80,272.89,264.15,272.23,6257149
16-Feb-17,277.60,280.00,268.50,268.95,7077322
15-Feb-17,280.00,282.24,276.44,279.76,4947856
14-Feb-17,279.03,287.39,278.61,280.98,7345224
13-Feb-17,270.74,280.79,270.51,280.60,7029605
10-Feb-17,269.79,270.95,266.11,269.23,3619739
9-Feb-17,266.25,271.18,266.15,269.20,7820222
8-Feb-17,257.35,263.36,256.20,262.08,3933014
7-Feb-17,258.19,260.00,256.42,257.48,4244775
6-Feb-17,251.00,257.82,250.63,257.77,3562517
3-Feb-17,251.91,252.18,249.68,251.33,2186723
2-Feb-17,248.34,252.42,247.71,251.55,2499775
1-Feb-17,253.05,253.20,249.05,249.24,3958829
31-Jan-17,249.24,255.89,247.70,251.93,4116104
30-Jan-17,252.53,255.29,247.10,250.63,3801074
27-Jan-17,251.38,253.00,248.52,252.95,3166336
26-Jan-17,254.29,255.74,250.75,252.51,3152123
25-Jan-17,257.31,258.46,251.80,254.47,5146361
24-Jan-17,250.00,254.80,249.65,254.61,4965451
23-Jan-17,245.85,250.89,245.50,248.92,6262938
20-Jan-17,245.46,246.00,243.01,244.73,4204275
19-Jan-17,247.25,248.68,240.75,243.76,7732303
18-Jan-17,236.65,239.71,235.58,238.36,3768967
17-Jan-17,236.70,239.96,234.37,235.58,4617522
13-Jan-17,230.00,237.85,229.59,237.75,6092960
12-Jan-17,229.06,230.70,225.58,229.59,3790229
11-Jan-17,229.07,229.98,226.68,229.73,3650825
10-Jan-17,232.00,232.00,226.89,229.87,3659955
9-Jan-17,228.97,231.92,228.00,231.28,3979484
6-Jan-17,226.93,230.31,225.45,229.01,5527893
5-Jan-17,226.42,227.48,221.95,226.75,5911695
4-Jan-17,214.75,228.00,214.31,226.99,11213471
3-Jan-17,214.86,220.33,210.96,216.99,5923254
30-Dec-16,216.30,217.50,211.68,213.69,4642620
29-Dec-16,218.56,219.20,214.12,214.68,4044968
28-Dec-16,221.53,223.80,217.20,219.74,3782456
27-Dec-16,214.88,222.25,214.42,219.53,5915732
23-Dec-16,208.00,213.45,207.71,213.34,4670464
22-Dec-16,208.22,209.99,206.50,208.45,3111108
21-Dec-16,208.45,212.23,207.41,207.70,5207622
20-Dec-16,203.05,209.00,202.50,208.79,4689071
19-Dec-16,202.49,204.45,199.84,202.73,3488071
16-Dec-16,198.08,202.59,197.60,202.49,3796889
15-Dec-16,198.41,200.74,197.39,197.58,3219567
14-Dec-16,198.74,203.00,196.76,198.69,4150927
13-Dec-16,193.18,201.28,193.00,198.15,6823884
12-Dec-16,192.80,194.42,191.04,192.43,2438876
9-Dec-16,190.87,193.84,190.81,192.18,2722505
8-Dec-16,192.05,192.50,189.54,192.29,3194148
7-Dec-16,186.15,193.40,185.00,193.15,5461851
6-Dec-16,185.52,186.58,182.68,185.85,3391622
5-Dec-16,182.51,188.89,182.51,186.80,4072239
2-Dec-16,182.88,184.88,180.00,181.47,4042324
1-Dec-16,188.25,188.53,181.00,181.88,5126401
30-Nov-16,191.00,191.89,187.50,189.40,3547104
29-Nov-16,195.56,196.73,189.50,189.57,4439256
28-Nov-16,195.48,199.35,194.55,196.12,4529182
25-Nov-16,193.64,197.24,193.64,196.65,2366098
23-Nov-16,190.61,195.64,189.00,193.14,4891893
22-Nov-16,185.84,191.47,183.71,191.17,5603361
21-Nov-16,185.04,188.89,184.41,184.52,4361043
18-Nov-16,190.65,193.00,185.00,185.02,5210347
17-Nov-16,183.49,189.49,182.11,188.66,4887067
16-Nov-16,182.65,184.73,181.21,183.93,3434437
15-Nov-16,182.78,186.43,182.05,183.77,3902018
14-Nov-16,188.00,188.25,178.19,181.45,6552205
11-Nov-16,184.24,188.88,183.00,188.56,3988504
10-Nov-16,191.05,191.61,180.42,185.35,6750341
9-Nov-16,186.88,192.00,183.95,190.06,8173065
8-Nov-16,193.79,197.49,191.26,194.94,3267580
7-Nov-16,193.59,194.29,190.05,193.21,3870112
4-Nov-16,189.00,193.46,185.96,190.56,5146043
3-Nov-16,189.00,191.47,187.04,187.42,2653023
2-Nov-16,190.05,192.70,187.50,188.02,4253382
1-Nov-16,198.04,198.50,188.10,190.79,7060036
31-Oct-16,202.49,202.49,195.81,197.73,4692273
28-Oct-16,204.00,205.32,199.83,199.97,4280141
27-Oct-16,211.34,213.70,201.65,204.01,13093744
26-Oct-16,201.00,203.19,200.10,202.24,5632841
25-Oct-16,202.90,204.69,201.20,202.34,2445014
24-Oct-16,201.00,203.95,200.25,202.76,2751562
21-Oct-16,198.60,201.57,197.41,200.09,2943402
20-Oct-16,202.12,203.00,197.05,199.10,5072877
19-Oct-16,199.74,206.66,198.06,203.56,6991183
18-Oct-16,195.99,199.47,193.26,199.10,5680475
17-Oct-16,197.05,198.39,192.00,193.96,4554080
14-Oct-16,200.66,201.43,196.30,196.51,4269850
13-Oct-16,200.50,200.90,197.05,200.24,2495413
12-Oct-16,200.95,203.88,200.42,201.51,1970689
11-Oct-16,201.85,202.20,198.31,200.10,2328422
10-Oct-16,201.35,204.14,199.66,200.95,3316297
7-Oct-16,201.00,201.32,195.80,196.61,3493018
6-Oct-16,202.46,204.21,200.21,201.00,4703402
5-Oct-16,212.24,213.15,208.12,208.46,1877534
4-Oct-16,213.10,213.32,208.82,211.41,3541481
3-Oct-16,212.30,215.67,208.25,213.70,5999892
30-Sep-16,202.21,204.98,199.55,204.03,2586273
29-Sep-16,205.60,207.33,200.58,200.70,2727029
28-Sep-16,207.51,208.25,205.26,206.27,2088374
27-Sep-16,209.65,209.98,204.61,205.81,3373180
26-Sep-16,206.50,211.00,206.50,208.99,2394358
23-Sep-16,205.99,210.18,205.67,207.45,2905229
22-Sep-16,206.40,207.28,203.00,206.43,2382902
21-Sep-16,206.37,207.00,201.56,205.22,2633503
20-Sep-16,206.85,207.75,203.91,204.64,2410488
19-Sep-16,207.00,209.43,205.00,206.34,2299498
16-Sep-16,200.42,205.70,199.00,205.40,3107808
15-Sep-16,196.49,202.52,196.40,200.42,3085115
14-Sep-16,195.75,197.92,194.86,196.41,2259231
13-Sep-16,197.06,198.49,193.45,196.05,3589379
12-Sep-16,195.00,201.37,194.10,198.30,3715161
9-Sep-16,199.09,199.92,193.70,194.47,3756992
8-Sep-16,199.55,199.89,196.36,197.36,3377946
7-Sep-16,205.50,206.50,200.71,201.71,3640923
6-Sep-16,199.02,203.25,199.00,202.83,4390572
2-Sep-16,202.33,203.20,196.20,197.78,5977413
1-Sep-16,209.01,211.10,200.50,200.77,7943138
31-Aug-16,210.43,212.60,208.65,212.01,3276548
30-Aug-16,216.11,216.11,210.52,211.34,3168862
29-Aug-16,220.15,220.40,215.00,215.20,3266334
26-Aug-16,222.14,222.86,218.82,219.99,2238992
25-Aug-16,223.11,223.80,220.77,220.96,1762519
24-Aug-16,227.05,227.15,222.22,222.62,2570693
23-Aug-16,224.32,228.49,222.80,224.84,4784418
22-Aug-16,224.17,225.11,222.68,222.93,2065493
19-Aug-16,223.54,225.17,222.53,225.00,1659530
18-Aug-16,223.82,225.66,222.29,223.51,1714467
17-Aug-16,224.33,224.83,222.80,223.24,1787127
16-Aug-16,225.49,227.19,223.41,223.61,2267147
15-Aug-16,226.02,229.50,224.93,225.59,2034328
12-Aug-16,225.41,226.65,224.04,225.61,1813540
11-Aug-16,226.17,227.57,223.41,224.91,1880936
10-Aug-16,228.24,229.87,224.62,225.65,2338301
9-Aug-16,226.82,231.54,226.65,229.08,2207833
8-Aug-16,228.00,229.60,226.09,226.16,2263584
5-Aug-16,230.00,232.00,227.40,230.03,3205215
4-Aug-16,225.69,230.86,222.05,230.61,4146997
3-Aug-16,227.37,229.70,224.21,225.79,3887759
2-Aug-16,229.37,229.87,221.40,227.20,3934432
1-Aug-16,235.50,236.63,229.38,230.01,4016284
29-Jul-16,230.70,235.28,230.24,234.79,3070813
28-Jul-16,227.95,230.76,226.60,230.61,2419059
27-Jul-16,229.34,233.36,226.92,228.49,2889007
26-Jul-16,227.69,230.00,225.30,229.51,3430042
25-Jul-16,222.27,231.39,221.37,230.01,4490683
22-Jul-16,221.99,224.50,218.88,222.27,2579692
21-Jul-16,226.00,227.85,219.10,220.50,4428651
20-Jul-16,226.47,229.80,225.00,228.36,2568498
19-Jul-16,225.00,229.10,224.75,225.26,3115065
18-Jul-16,219.64,227.09,218.30,226.25,3412055
15-Jul-16,222.52,222.75,219.64,220.40,2234247
14-Jul-16,223.12,224.94,221.05,221.53,2675834
13-Jul-16,225.50,225.59,220.29,222.53,3567062
12-Jul-16,224.10,227.50,223.22,224.65,4576165
11-Jul-16,219.96,226.78,219.51,224.78,5429823
8-Jul-16,217.80,219.81,214.50,216.78,4074785
7-Jul-16,213.10,218.12,213.01,215.94,3612022
6-Jul-16,210.00,215.23,209.00,214.44,4919855
5-Jul-16,209.73,214.54,208.00,213.98,5175345
1-Jul-16,206.14,218.24,206.00,216.50,5399951
30-Jun-16,212.97,213.50,209.02,212.28,4843111
29-Jun-16,205.13,211.78,203.00,210.19,5994908
28-Jun-16,201.89,204.05,199.41,201.79,6212422
27-Jun-16,190.86,198.81,187.87,198.55,7220323
24-Jun-16,190.05,195.12,189.73,193.15,7026516
23-Jun-16,195.69,197.55,192.13,196.40,10130748
22-Jun-16,199.47,205.95,195.75,196.66,23742414
21-Jun-16,220.68,222.57,218.81,219.61,4529005
20-Jun-16,219.50,223.75,218.23,219.70,3555471
17-Jun-16,217.81,219.99,214.50,215.47,3112620
16-Jun-16,217.42,218.04,213.50,217.93,2440259
15-Jun-16,216.95,221.90,215.13,217.70,2908522
14-Jun-16,218.88,222.20,212.53,214.96,3580167
13-Jun-16,219.50,225.77,217.66,217.87,4193022
10-Jun-16,227.39,227.97,218.42,218.79,6026603
9-Jun-16,234.98,235.33,227.06,229.36,4492075
8-Jun-16,233.80,240.84,232.60,235.52,5971995
7-Jun-16,222.24,234.44,221.52,232.34,6213573
6-Jun-16,218.00,220.90,215.45,220.68,2249508
3-Jun-16,220.00,221.94,218.01,218.99,2228970
2-Jun-16,219.59,219.91,217.11,218.96,2032832
1-Jun-16,221.48,222.40,216.89,219.56,2982695
31-May-16,223.04,224.75,221.50,223.23,2789002
27-May-16,224.99,225.93,220.75,223.04,3642740
26-May-16,220.50,225.26,219.05,225.12,4064013
25-May-16,217.91,221.36,216.51,219.58,3126822
24-May-16,216.60,218.74,215.18,217.91,3008774
23-May-16,219.87,222.60,215.86,216.22,5093158
20-May-16,216.99,220.55,216.35,220.28,8951773
19-May-16,213.62,216.79,207.30,215.21,6811976
18-May-16,209.15,215.31,207.75,211.17,5384698
17-May-16,209.05,209.82,204.02,204.66,2841168
16-May-16,208.15,213.15,207.92,208.29,2945072
13-May-16,207.78,211.20,206.70,207.61,2819264
12-May-16,211.44,211.67,203.66,207.28,3646943
11-May-16,207.59,215.48,206.05,208.96,5153730
10-May-16,207.55,209.47,205.00,208.69,4065214
9-May-16,215.72,216.15,206.80,208.92,4758131
6-May-16,210.87,216.37,208.11,214.93,5681078
5-May-16,228.46,228.64,209.79,211.53,11235835
4-May-16,230.29,234.46,220.40,222.56,8262540
3-May-16,237.36,238.91,231.62,232.32,4289174
2-May-16,241.50,243.19,234.82,241.80,3836429
29-Apr-16,248.14,248.43,237.81,240.76,5388701
28-Apr-16,249.85,253.43,247.44,247.71,2509509
27-Apr-16,252.75,255.00,249.40,251.47,3190682
26-Apr-16,252.05,255.73,249.39,253.74,3212470
25-Apr-16,253.01,257.38,250.76,251.82,3664293
22-Apr-16,248.89,254.00,245.71,253.75,3774648
21-Apr-16,248.99,250.90,246.91,248.29,2783059
20-Apr-16,246.26,253.66,241.50,249.97,5190831
19-Apr-16,253.12,254.37,241.25,247.37,6349403
18-Apr-16,252.23,258.31,251.66,253.88,4261782
15-Apr-16,251.31,254.60,249.12,254.51,3742018
14-Apr-16,253.00,256.84,251.05,251.86,4119980
13-Apr-16,248.51,255.50,247.33,254.53,4917930
12-Apr-16,249.50,251.80,243.63,247.82,5750757
11-Apr-16,251.00,258.99,245.30,249.92,9153901
8-Apr-16,260.50,260.82,248.02,250.07,7332157
7-Apr-16,266.45,269.34,254.51,257.20,8836815
6-Apr-16,253.97,267.74,253.45,265.42,11679883
5-Apr-16,240.50,256.56,240.00,255.47,9915160
4-Apr-16,249.12,252.12,243.64,246.99,13289584
1-Apr-16,244.82,247.90,233.25,237.59,15962015
31-Mar-16,229.34,237.42,225.01,229.77,7956740
30-Mar-16,235.09,235.50,226.50,226.89,4019667
29-Mar-16,229.89,232.38,225.33,230.13,4004940
28-Mar-16,231.61,234.81,225.00,230.26,3875451
24-Mar-16,215.78,228.89,215.00,227.75,4954411
23-Mar-16,232.37,234.73,222.03,222.58,4921013
22-Mar-16,237.21,238.99,232.56,234.24,4300628
21-Mar-16,235.34,239.88,235.00,238.32,5286697
18-Mar-16,229.10,234.48,228.06,232.74,4698180
17-Mar-16,221.47,228.50,220.00,226.38,3754756
16-Mar-16,218.00,222.58,217.02,221.93,3462107
15-Mar-16,214.27,218.97,211.50,218.34,3180452
14-Mar-16,212.65,216.72,210.64,215.15,4054723
11-Mar-16,207.93,209.42,205.33,207.50,3300358
10-Mar-16,210.00,213.29,200.67,205.18,5183177
9-Mar-16,204.52,209.37,202.79,208.72,3160081
8-Mar-16,203.50,207.50,202.20,202.60,4130816
7-Mar-16,197.68,209.70,197.40,205.29,5329369
4-Mar-16,198.00,204.03,197.50,201.04,6469772
3-Mar-16,188.28,197.42,184.22,195.74,4820497
2-Mar-16,183.73,188.52,181.50,188.34,4832986
1-Mar-16,194.25,195.95,182.70,186.35,6701674
29-Feb-16,192.40,196.35,189.22,191.93,4479719
26-Feb-16,188.70,192.00,185.00,190.34,6052910
25-Feb-16,178.65,188.52,175.20,187.43,5720514
24-Feb-16,172.75,179.50,167.84,179.00,5380712
23-Feb-16,176.16,181.73,173.68,177.21,5968028
22-Feb-16,170.12,178.91,169.85,177.74,5051180
19-Feb-16,163.66,167.49,162.50,166.58,2952880
18-Feb-16,172.42,172.95,164.77,166.77,3785336
17-Feb-16,159.00,169.34,156.68,168.68,5807071
16-Feb-16,158.70,162.95,154.11,155.17,5556314
12-Feb-16,155.00,157.01,143.70,151.04,7202970
11-Feb-16,152.00,163.26,147.00,150.47,14231392
10-Feb-16,150.50,154.97,141.74,143.67,9067292
9-Feb-16,142.32,159.79,141.05,148.25,8575099
8-Feb-16,157.10,157.15,146.00,147.99,9297941
5-Feb-16,171.30,173.00,157.74,162.60,9426933
4-Feb-16,170.70,175.98,166.99,175.33,4363924
3-Feb-16,183.59,183.94,170.18,173.48,7879454
2-Feb-16,192.42,193.12,180.23,182.78,5762855
1-Feb-16,188.76,199.52,182.75,196.94,5293766
29-Jan-16,189.95,193.74,188.08,191.20,2841003
28-Jan-16,190.79,191.28,182.41,189.70,4581652
27-Jan-16,192.38,193.26,185.77,188.07,3565378
26-Jan-16,196.70,197.82,188.88,193.56,4946841
25-Jan-16,200.06,203.57,195.88,196.38,2694564
22-Jan-16,204.80,205.50,199.03,202.55,3120106
21-Jan-16,201.55,203.23,195.02,199.97,3163432
20-Jan-16,199.40,201.28,191.25,198.70,5825431
19-Jan-16,208.71,210.47,200.78,204.72,3997509
15-Jan-16,198.97,205.07,197.25,204.99,5322235
14-Jan-16,202.21,210.00,193.38,206.18,6452623
13-Jan-16,212.01,212.65,200.00,200.31,4039093
12-Jan-16,211.60,213.74,205.31,209.97,3091917
11-Jan-16,214.01,214.45,203.00,207.85,4091422
8-Jan-16,217.86,220.44,210.77,211.00,3628058
7-Jan-16,214.19,218.44,213.67,215.65,3554251
6-Jan-16,220.00,220.05,215.98,219.04,3779128
5-Jan-16,226.36,226.89,220.00,223.43,3186752
4-Jan-16,230.72,231.38,219.00,223.41,6819737
31-Dec-15,238.51,243.45,238.37,240.01,2715038
30-Dec-15,236.60,243.63,235.67,238.09,3697921
29-Dec-15,230.06,237.72,229.55,237.19,2406290
28-Dec-15,231.49,231.98,225.54,228.95,1901304
24-Dec-15,230.56,231.88,228.28,230.57,710277
23-Dec-15,232.18,233.45,228.13,229.70,1554979
22-Dec-15,234.99,236.55,229.63,229.95,1961495
21-Dec-15,231.69,235.83,231.08,232.56,1953174
18-Dec-15,232.89,235.90,229.29,230.46,3014170
17-Dec-15,233.94,237.76,229.81,233.39,3298638
16-Dec-15,222.10,234.88,220.73,234.51,5104341
15-Dec-15,221.82,222.22,218.00,221.09,2244424
14-Dec-15,217.51,220.92,214.87,218.58,2827068
11-Dec-15,225.24,225.75,216.64,217.02,3268726
10-Dec-15,224.71,228.49,223.64,227.07,2071692
9-Dec-15,226.70,227.50,220.72,224.52,3057753
8-Dec-15,227.52,228.80,224.20,226.72,2687636
7-Dec-15,227.70,235.63,226.15,231.13,3144223
4-Dec-15,232.46,233.27,227.66,230.38,2573603
3-Dec-15,235.48,237.45,230.00,232.71,2939564
2-Dec-15,237.00,238.60,231.23,231.99,2975721
1-Dec-15,231.06,238.00,231.05,237.19,3728287
30-Nov-15,231.79,234.28,229.08,230.26,2585753
27-Nov-15,231.06,232.25,227.01,231.61,1949127
25-Nov-15,221.34,230.82,220.38,229.64,3990779
24-Nov-15,215.37,221.00,215.00,218.25,2452304
23-Nov-15,217.35,219.18,214.68,217.75,2524994
20-Nov-15,223.49,225.00,213.58,220.01,4388932
19-Nov-15,220.54,226.19,220.30,221.80,2499363
18-Nov-15,214.50,221.38,212.52,221.07,2805192
17-Nov-15,215.20,216.00,211.40,214.00,2143269
16-Nov-15,206.09,214.98,205.80,214.31,2917082
13-Nov-15,212.95,212.99,206.52,207.19,3412083
12-Nov-15,217.85,219.00,212.66,212.94,2910023
11-Nov-15,217.77,219.48,213.63,219.08,3334955
10-Nov-15,223.48,223.70,216.08,216.50,4568414
9-Nov-15,232.99,232.99,224.31,225.33,3843824
6-Nov-15,230.70,233.36,229.50,232.36,2443465
5-Nov-15,230.58,234.58,229.19,231.77,4493263
4-Nov-15,230.68,232.74,225.20,231.63,12706650
3-Nov-15,210.00,214.44,207.75,208.35,7141113
2-Nov-15,208.92,215.80,207.22,213.79,3919308
30-Oct-15,210.40,211.63,203.89,206.93,4372936
29-Oct-15,211.75,213.75,210.64,211.63,1782358
28-Oct-15,211.31,213.45,208.30,212.96,2672551
27-Oct-15,214.84,217.10,207.51,210.35,3500711
26-Oct-15,211.38,215.88,210.00,215.26,3387107
23-Oct-15,215.00,215.35,207.69,209.09,4142080
22-Oct-15,211.56,215.75,209.40,211.72,2809155
21-Oct-15,211.99,214.81,208.80,210.09,4151463
20-Oct-15,227.72,228.60,202.00,213.03,14863266
19-Oct-15,226.50,231.15,224.94,228.10,2499326
16-Oct-15,223.04,230.48,222.87,227.01,4320797
15-Oct-15,216.43,221.73,213.70,221.31,2833931
14-Oct-15,220.67,220.95,215.43,216.88,3086784
13-Oct-15,213.28,222.52,211.13,219.25,5162453
12-Oct-15,222.99,223.00,215.27,215.58,3803779
9-Oct-15,220.93,224.37,218.36,220.69,6150458
8-Oct-15,230.08,230.72,221.31,226.72,6119688
7-Oct-15,236.63,237.70,229.12,231.96,6803172
6-Oct-15,240.00,243.03,235.58,241.46,5225174
5-Oct-15,248.84,249.84,244.13,246.15,3678195
2-Oct-15,235.60,247.70,234.93,247.57,4390140
1-Oct-15,247.51,248.50,237.13,239.88,4566941
30-Sep-15,252.00,252.40,242.34,248.40,4923331
29-Sep-15,250.46,254.73,245.46,246.65,3693383
28-Sep-15,257.35,259.79,246.61,248.43,4892501
25-Sep-15,266.61,266.91,256.15,256.91,3767096
24-Sep-15,259.53,263.45,256.21,263.12,3442247
23-Sep-15,261.95,262.08,257.58,261.06,2594257
22-Sep-15,259.03,262.65,255.87,260.94,3657582
21-Sep-15,263.98,271.57,255.80,264.20,6110390
18-Sep-15,257.96,263.82,257.50,260.62,3739826
17-Sep-15,263.96,265.50,260.69,262.07,3574923
16-Sep-15,253.04,262.88,252.88,262.25,4404454
15-Sep-15,252.75,254.60,249.50,253.57,2929278
14-Sep-15,251.10,254.25,249.67,253.19,2883100
11-Sep-15,247.64,250.24,244.73,250.24,2342654
10-Sep-15,247.23,250.72,245.33,248.48,2705437
9-Sep-15,252.05,254.25,248.30,248.91,3384661
8-Sep-15,245.05,249.16,244.05,248.17,3120348
4-Sep-15,240.89,244.09,238.20,241.93,3682146
3-Sep-15,252.06,252.08,245.00,245.57,4131503
2-Sep-15,245.30,247.88,239.78,247.69,4584918
1-Sep-15,240.34,246.00,236.97,238.63,5437046
31-Aug-15,245.62,254.95,245.51,249.06,4680798
28-Aug-15,241.86,251.45,241.57,248.48,5495169
27-Aug-15,231.00,244.75,230.81,242.99,7642840
26-Aug-15,227.93,228.00,215.51,224.84,4948119
25-Aug-15,230.52,230.90,219.12,220.03,4304953
24-Aug-15,202.79,231.40,195.00,218.87,9565541
21-Aug-15,236.00,243.80,230.51,230.77,6564012
20-Aug-15,252.06,254.56,241.90,242.18,4887192
19-Aug-15,260.33,260.65,255.02,255.25,3604282
18-Aug-15,255.38,260.95,253.56,260.72,4195035
17-Aug-15,255.56,256.59,250.51,254.99,7176690
14-Aug-15,247.24,247.93,241.77,243.15,4364810
13-Aug-15,239.86,246.48,239.12,242.51,4689182
12-Aug-15,235.00,239.77,232.74,238.17,3739157
11-Aug-15,237.15,239.30,234.44,237.37,4264939
10-Aug-15,238.15,242.97,236.05,241.14,4185860
7-Aug-15,243.58,243.73,238.39,242.51,5073390
